,Avg. sheep,Avg. wolves
0,133.39,110.63
1,137.45,129.16
2,133.39,110.63
3,133.39,110.63
4,294.98,92.5
5,104.0,59.34
6,215.87,90.71
7,181.76,34.79
8,293.07,22.74
9,293.07,22.74
10,139.74,57.04
11,395.85,44.93
12,225.08,37.56
13,293.07,22.74
14,930.46,202.9
15,1043.96,160.95
16,930.46,202.9
17,930.46,202.9
18,581.2,243.14
19,583.17,160.09
20,369.0,346.68
21,215.7,225.54
22,243.69,309.4
23,243.69,309.4
24,354.8,237.94
25,255.51,401.44
26,328.56,164.01
27,243.69,309.4
28,433.29,130.64
29,291.91,166.89
30,433.29,130.64
31,433.29,130.64
32,327.08,134.03
33,720.79,202.18
34,179.75,192.86
35,298.0,355.04
36,259.2,393.36
37,259.2,393.36
38,427.53,363.82
39,199.84,220.8
40,809.73,161.9
41,259.2,393.36
42,127.36,52.68
43,132.42,47.15
44,127.36,52.68
45,127.36,52.68
46,168.66,32.42
47,247.9,115.36
48,193.19,36.36
49,537.42,44.07
50,544.64,52.56
51,544.64,52.56
52,640.09,42.22
53,186.58,27.94
54,257.33,105.41
55,544.64,52.56
56,210.66,63.9
57,177.13,55.23
58,210.66,63.9
59,210.66,63.9
60,110.25,76.75
61,327.3,482.66
62,250.44,41.0
63,2959.02,141.08
64,3276.62,161.47
65,3276.62,161.47
66,5169.99,112.3
67,177.26,57.29
68,255.43,512.36
69,3276.62,161.47
70,537.14,200.05
71,545.61,182.7
72,537.14,200.05
73,537.14,200.05
74,962.03,117.75
75,235.42,159.42
76,221.82,312.24
77,329.99,155.61
78,416.84,148.01
79,416.84,148.01
80,164.19,192.02
81,385.56,257.61
82,661.66,87.79
83,416.84,148.01
84,6631.92,80.94
85,4671.28,96.71
86,6631.92,80.94
87,6631.92,80.94
88,6963.33,73.28
89,386.33,30.92
90,448.65,527.59
91,166.93,100.06
92,167.18,84.27
93,167.18,84.27
94,316.36,35.06
95,424.63,621.58
96,359.78,40.74
97,167.18,84.27
98,255.61,148.8
99,200.14,163.03
100,255.61,148.8
101,255.61,148.8
102,191.33,156.59
103,274.49,328.49
104,264.42,119.38
105,545.37,266.98
106,383.81,301.1
107,383.81,301.1
108,333.94,274.75
109,250.38,154.83
110,249.0,327.05
111,383.81,301.1
112,580.51,175.34
113,348.7,211.61
114,580.51,175.34
115,580.51,175.34
116,870.75,111.29
117,912.57,150.23
118,842.52,119.17
119,804.16,135.06
120,1222.17,143.08
121,1222.17,143.08
122,612.5,185.81
123,482.13,147.08
124,696.08,180.82
125,1222.17,143.08
126,124.07,96.58
127,93.6,90.06
128,124.07,96.58
129,124.07,96.58
130,106.04,95.08
131,136.91,146.43
132,122.83,98.52
133,109.42,107.48
134,128.57,106.82
135,128.57,106.82
136,116.48,141.54
137,92.29,74.63
138,120.61,130.74
139,128.57,106.82
140,420.54,95.08
141,390.23,95.29
142,420.54,95.08
143,420.54,95.08
144,163.62,152.1
145,331.56,145.43
146,299.44,167.92
147,179.06,245.96
148,163.95,228.65
149,163.95,228.65
150,247.43,214.31
151,146.83,161.63
152,258.81,203.38
153,163.95,228.65
154,2420.07,102.66
155,1942.66,101.37
156,2420.07,102.66
157,2420.07,102.66
158,5560.96,70.68
159,2996.96,136.95
160,319.05,416.11
161,1281.8,333.67
162,744.76,385.47
163,744.76,385.47
164,731.97,387.96
165,1815.96,171.05
166,6518.37,76.58
167,744.76,385.47
168,1174.9,316.46
169,955.28,298.95
170,1174.9,316.46
171,1174.9,316.46
172,1135.23,330.89
173,271.93,113.08
174,1562.49,283.19
175,220.74,133.53
176,236.92,129.69
177,236.92,129.69
178,251.38,150.45
179,978.34,299.33
180,248.17,94.13
181,236.92,129.69
182,507.13,142.01
183,309.08,175.58
184,507.13,142.01
185,507.13,142.01
186,237.21,183.43
187,473.84,408.88
188,359.54,134.58
189,350.32,446.73
190,394.18,510.92
191,394.18,510.92
192,719.26,482.65
193,249.79,241.73
194,311.86,452.95
195,394.18,510.92
196,166.67,120.39
197,141.37,117.04
198,166.67,120.39
199,166.67,120.39
200,320.62,67.03
201,227.33,331.79
202,196.43,102.94
203,491.83,173.93
204,498.87,211.48
205,498.87,211.48
206,159.77,248.6
207,271.38,52.1
208,412.82,214.41
209,498.87,211.48
210,1375.65,98.6
211,1488.79,113.1
212,1375.65,98.6
213,1375.65,98.6
214,1518.4,117.47
215,194.74,38.79
216,1576.93,99.47
217,223.31,50.95
218,193.25,56.49
219,193.25,56.49
220,232.74,41.01
221,1018.15,130.9
222,201.92,59.79
223,193.25,56.49
224,278.13,15.46
225,230.73,18.67
226,278.13,15.46
227,278.13,15.46
228,211.54,32.38
229,266.77,15.52
230,310.86,17.95
231,208.7,30.12
232,173.79,32.35
233,173.79,32.35
234,186.77,26.3
235,160.81,40.5
236,185.98,33.91
237,173.79,32.35
238,279.55,259.01
239,245.93,223.33
240,279.55,259.01
241,279.55,259.01
242,258.61,280.98
243,211.93,231.82
244,271.68,243.95
245,297.55,259.32
246,206.04,269.58
247,206.04,269.58
248,217.9,204.35
249,180.36,222.13
250,233.58,218.65
251,206.04,269.58
252,363.21,444.36
253,353.32,438.81
254,363.21,444.36
255,363.21,444.36
256,233.63,482.4
257,289.46,393.15
258,284.21,395.89
259,148.48,358.86
260,149.87,363.53
261,149.87,363.53
262,381.78,482.49
263,150.62,374.85
264,217.8,420.38
265,149.87,363.53
266,237.88,106.43
267,228.16,137.06
268,237.88,106.43
269,237.88,106.43
270,264.44,103.9
271,242.39,100.17
272,248.84,93.51
273,265.31,100.08
274,222.8,116.01
275,222.8,116.01
276,174.76,115.31
277,207.47,112.53
278,262.14,72.97
279,222.8,116.01
280,365.15,126.13
281,272.31,124.32
282,365.15,126.13
283,365.15,126.13
284,411.79,104.19
285,1069.33,201.98
286,318.23,153.77
287,2070.53,178.86
288,1261.55,214.54
289,1261.55,214.54
290,733.19,260.79
291,336.69,116.45
292,3546.98,140.21
293,1261.55,214.54
294,391.92,538.83
295,411.77,540.08
296,391.92,538.83
297,391.92,538.83
298,953.11,489.97
299,180.96,119.47
300,223.61,401.02
301,242.78,146.77
302,253.28,135.49
303,253.28,135.49
304,197.47,187.87
305,697.74,612.5
306,354.3,151.46
307,253.28,135.49
308,161.41,307.95
309,194.9,331.87
310,161.41,307.95
311,161.41,307.95
312,208.49,281.15
313,156.02,90.0
314,313.91,293.13
315,184.73,71.38
316,263.21,61.71
317,263.21,61.71
318,143.47,84.12
319,526.02,288.89
320,203.46,55.71
321,263.21,61.71
322,223.0,50.59
323,223.55,50.14
324,223.0,50.59
325,223.0,50.59
326,139.49,108.61
327,483.7,190.67
328,297.93,39.08
329,1630.13,73.31
330,983.34,102.15
331,983.34,102.15
332,2513.87,52.88
333,294.41,44.94
334,326.85,261.58
335,983.34,102.15
336,179.95,202.2
337,235.51,264.02
338,179.95,202.2
339,179.95,202.2
340,152.02,217.54
341,196.8,312.3
342,181.63,206.41
343,195.28,382.51
344,259.46,464.08
345,259.46,464.08
346,212.59,379.14
347,151.76,224.19
348,242.37,428.21
349,259.46,464.08
350,144.99,73.24
351,102.1,71.11
352,144.99,73.24
353,144.99,73.24
354,193.36,29.91
355,175.18,119.28
356,103.06,66.44
357,331.28,71.61
358,320.08,89.51
359,320.08,89.51
360,221.48,150.48
361,177.74,41.85
362,485.04,56.86
363,320.08,89.51
364,408.38,49.71
365,301.17,63.31
366,408.38,49.71
367,408.38,49.71
368,336.63,67.51
369,173.24,34.56
370,300.65,66.61
371,188.94,43.05
372,156.78,42.93
373,156.78,42.93
374,187.13,42.17
375,268.0,80.32
376,189.87,38.07
377,156.78,42.93
378,356.13,455.16
379,223.99,362.8
380,356.13,455.16
381,356.13,455.16
382,205.79,386.67
383,162.48,233.86
384,384.41,485.32
385,141.66,230.62
386,211.41,296.22
387,211.41,296.22
388,214.32,269.9
389,221.43,421.46
390,212.89,294.83
391,211.41,296.22
392,219.14,455.53
393,248.17,514.71
394,219.14,455.53
395,219.14,455.53
396,386.8,467.12
397,145.55,120.91
398,530.03,482.32
399,410.81,43.29
400,273.79,60.2
401,273.79,60.2
402,136.86,86.64
403,582.02,384.26
404,216.78,51.18
405,273.79,60.2
406,480.09,101.29
407,458.26,100.38
408,480.09,101.29
409,480.09,101.29
410,361.37,140.89
411,797.86,170.65
412,979.08,36.35
413,1089.63,102.58
414,1120.29,104.17
415,1120.29,104.17
416,2409.11,54.39
417,672.98,65.93
418,613.72,213.05
419,1120.29,104.17
420,166.35,72.84
421,189.88,74.72
422,166.35,72.84
423,166.35,72.84
424,179.02,63.93
425,1684.71,209.79
426,172.35,70.3
427,1029.18,240.96
428,1893.86,213.52
429,1893.86,213.52
430,1286.0,271.74
431,205.16,76.48
432,876.54,246.05
433,1893.86,213.52
434,375.42,375.49
435,244.16,259.11
436,375.42,375.49
437,375.42,375.49
438,254.41,273.09
439,274.15,164.71
440,263.69,335.77
441,240.7,191.15
442,325.23,206.38
443,325.23,206.38
444,227.73,197.23
445,221.26,269.12
446,325.19,200.85
447,325.23,206.38
448,250.27,37.6
449,237.8,32.22
450,250.27,37.6
451,250.27,37.6
452,128.94,81.25
453,396.44,98.64
454,293.55,37.76
455,115.09,189.92
456,124.04,170.53
457,124.04,170.53
458,306.15,110.97
459,98.33,110.2
460,168.6,152.13
461,124.04,170.53
462,872.84,85.56
463,728.5,98.75
464,872.84,85.56
465,872.84,85.56
466,1508.7,70.51
467,3032.81,97.69
468,443.62,264.27
469,513.42,377.27
470,353.02,352.6
471,353.02,352.6
472,378.32,345.77
473,385.35,211.45
474,2220.4,111.06
475,353.02,352.6
476,1348.35,187.25
477,1058.24,217.81
478,1348.35,187.25
479,1348.35,187.25
480,1838.77,186.17
481,714.74,143.98
482,3031.06,130.47
483,1195.39,93.71
484,1011.96,95.95
485,1011.96,95.95
486,792.88,117.61
487,1603.08,156.38
488,758.16,137.82
489,1011.96,95.95
490,176.51,167.82
491,140.0,168.61
492,176.51,167.82
493,176.51,167.82
494,179.14,175.89
495,106.88,90.45
496,152.61,167.34
497,123.58,90.68
498,137.27,82.99
499,137.27,82.99
500,122.63,104.45
501,145.94,150.6
502,147.3,96.19
503,137.27,82.99
504,195.21,243.21
505,141.29,204.78
506,195.21,243.21
507,195.21,243.21
508,238.58,172.31
509,162.27,216.95
510,177.37,209.06
511,261.6,183.3
512,312.78,233.42
513,312.78,233.42
514,147.41,199.29
515,283.77,172.92
516,376.97,191.44
517,312.78,233.42
518,4474.84,146.36
519,3071.08,144.52
520,4474.84,146.36
521,4474.84,146.36
522,1172.35,229.5
523,153.34,42.15
524,5469.5,119.83
525,134.58,51.82
526,138.47,54.39
527,138.47,54.39
528,119.58,42.32
529,5590.17,129.37
530,149.69,55.1
531,138.47,54.39
532,317.27,279.85
533,274.81,267.89
534,317.27,279.85
535,317.27,279.85
536,439.12,276.99
537,203.59,95.01
538,395.72,265.56
539,216.0,74.13
540,215.97,74.12
541,215.97,74.12
542,206.65,100.93
543,531.45,259.66
544,222.04,88.81
545,215.97,74.12
546,369.37,66.59
547,250.6,116.53
548,369.37,66.59
549,369.37,66.59
550,237.51,72.57
551,358.39,407.46
552,278.23,75.74
553,323.64,336.06
554,387.13,400.63
555,387.13,400.63
556,391.52,382.83
557,296.3,81.33
558,594.98,382.99
559,387.13,400.63
560,1124.57,132.44
561,847.39,159.28
562,1124.57,132.44
563,1124.57,132.44
564,1409.2,123.73
565,1512.69,128.6
566,297.16,343.31
567,306.98,326.97
568,424.45,353.33
569,424.45,353.33
570,318.46,387.33
571,417.46,345.78
572,2443.09,92.39
573,424.45,353.33
574,265.39,81.83
575,276.89,104.35
576,265.39,81.83
577,265.39,81.83
578,304.26,50.55
579,281.29,80.6
580,346.85,48.22
581,489.44,33.36
582,478.74,38.12
583,478.74,38.12
584,298.03,50.08
585,395.45,36.07
586,387.31,63.74
587,478.74,38.12
588,137.04,45.57
589,102.41,56.34
590,137.04,45.57
591,137.04,45.57
592,160.12,32.25
593,136.45,57.26
594,136.47,43.62
595,201.14,27.12
596,189.37,35.77
597,189.37,35.77
598,156.83,56.07
599,152.71,42.98
600,216.8,36.93
601,189.37,35.77
602,798.26,91.33
603,770.03,84.01
604,798.26,91.33
605,798.26,91.33
606,259.84,192.08
607,467.28,130.9
608,367.47,207.63
609,214.43,280.11
610,211.66,276.95
611,211.66,276.95
612,405.73,196.51
613,195.83,250.28
614,396.76,158.89
615,211.66,276.95
616,1649.97,69.8
617,1637.39,68.63
618,1649.97,69.8
619,1649.97,69.8
620,1666.8,68.76
621,247.23,40.06
622,222.33,262.04
623,228.29,64.68
624,252.04,54.02
625,252.04,54.02
626,252.15,56.47
627,272.61,245.31
628,339.86,28.71
629,252.04,54.02
630,134.33,76.35
631,179.7,104.42
632,134.33,76.35
633,134.33,76.35
634,129.06,79.8
635,267.93,312.2
636,147.82,70.24
637,492.61,245.75
638,472.45,219.17
639,472.45,219.17
640,566.02,211.42
641,161.95,75.57
642,245.58,300.54
643,472.45,219.17
644,206.85,155.31
645,209.47,149.85
646,206.85,155.31
647,206.85,155.31
648,137.81,166.32
649,367.3,483.46
650,381.59,83.18
651,2674.73,121.78
652,3698.42,127.22
653,3698.42,127.22
654,4080.67,131.55
655,273.6,96.73
656,254.75,532.66
657,3698.42,127.22
658,553.97,279.97
659,1133.97,204.87
660,553.97,279.97
661,553.97,279.97
662,1621.71,179.9
663,287.22,155.33
664,302.93,507.96
665,243.01,179.17
666,248.28,137.44
667,248.28,137.44
668,145.32,174.08
669,502.25,411.4
670,482.07,71.99
671,248.28,137.44
672,238.07,122.06
673,310.54,105.83
674,238.07,122.06
675,238.07,122.06
676,177.84,150.43
677,309.25,150.86
678,167.28,136.17
679,184.2,217.07
680,148.76,203.44
681,148.76,203.44
682,241.97,206.0
683,137.9,114.76
684,273.9,184.73
685,148.76,203.44
686,569.85,582.31
687,307.71,409.61
688,569.85,582.31
689,569.85,582.31
690,299.41,451.52
691,432.51,605.23
692,4033.1,90.2
693,7049.05,114.92
694,8194.01,113.84
695,8194.01,113.84
696,7177.68,90.83
697,4196.48,86.3
698,430.4,638.9
699,8194.01,113.84
700,133.92,230.23
701,234.55,329.55
702,133.92,230.23
703,133.92,230.23
704,403.97,221.32
705,216.42,384.15
706,292.93,244.44
707,987.27,167.45
708,803.32,190.15
709,803.32,190.15
710,540.84,245.4
711,949.2,136.63
712,381.95,351.98
713,803.32,190.15
714,170.42,46.53
715,242.87,31.08
716,170.42,46.53
717,170.42,46.53
718,160.53,60.58
719,308.06,60.83
720,133.6,58.3
721,128.45,92.8
722,139.84,81.72
723,139.84,81.72
724,265.48,73.93
